,A,B,C,F,G,H,I,J,K,L,Response,D,E,M,N
0,-124.70592894563742,0.7993828945021111,-0.12044983425844918,0.35886338332849643,0.8522414008795507,-2.0325086893733797,-0.03506101417279017,0.24250413120058514,-0.2952608601948983,0.08605619128207416,-0.9652368949962845,Male,Yes,0.24374697232840742,-124.37122285323416
1,129.83364284765864,0.5844134116273766,-1.7805886135229338,1.0009671610169772,0.5223508646712536,-0.793653337274973,-0.22221537691739085,-0.7409722339423329,-0.2096447792640408,0.6367163260529407,1.9876588023213422,F   ,Yes,0.6813227298696769,129.58346529446476
2,296.07991910580813,1.262669317314004,0.6928348788784267,0.6010279157134057,1.4308039005244713,-0.036306745508491015,2.1293872378082455,0.11795475957735695,1.2260712521377222,-1.5610999010360982,-0.16304249587064318,F   ,Yes,-1.6103871610615303,296.3954416060408
3,-46.219570551393645,0.9291001452420672,-1.0333513501093785,0.19617703484021418,-0.3477536960210563,0.9642995044906788,-0.5835585802185277,1.0779255983435978,-1.2866091941220985,-1.1946490381429022,-0.37414118140159164,Male,Yes,-0.9875743686260918,-46.30407829291145
4,-152.65530774949482,-0.09149547545350158,-0.44373214573425585,0.03330599836629825,-0.3295842225950773,0.22687986120317316,0.45153100627532355,-1.2949127989257052,-2.209896000144811,-1.5110002004203973,0.7293011604347768,Male,Yes,-1.2714980306098702,-153.23174560050282
5,-48.657505485240534,0.34569237324022195,0.20223092464810735,-1.1635883360212125,-0.12549566509367044,0.4107096191303123,-0.8834620909605276,-1.088517414954358,-0.29182344884665967,-0.3498344008839516,0.7341476486109585,F   ,Yes,-0.19266389418828697,-49.00346901008949
6,258.2252624015983,0.1651491077844321,1.9288489886897946,0.5872133676497813,0.11637614491336662,1.0462665328434777,1.024363146652405,0.6278498911890462,1.228349772856549,0.00962601391716169,1.286788994328942,F   ,Yes,-0.03357947872565883,258.4778898709489
7,185.2604914610706,0.2404634003103702,-0.8204614060856792,0.43173865342346257,-0.5634046781208636,0.5598603576656705,0.4748006795478647,1.4834094526579185,2.0694500739092074,0.1422641440628015,-0.9304052346426125,Male,Yes,0.508866219097443,185.32389150548025
8,-27.021241697699253,-0.5186009133926971,0.12783998118041207,-0.8068918985243863,1.0465450562190384,-0.05961665561158393,0.2865485235122244,-0.5676818073384051,0.760447771635553,-0.050557771184161486,-1.1202520747257416,F   ,Yes,-0.10750993405595591,-27.068211226967648
9,-102.89080870786013,1.1188411613642673,0.08056794533818191,0.9413797601796464,0.3838588897881868,-0.16026798633449701,0.5393378778091363,-1.4120206385185514,-1.646035125303494,0.24772566974315222,0.031914940796579826,Male,Yes,0.40582455218739827,-102.49735827897234
10,-252.04329179711448,0.1506129203839175,-0.1736393922741059,-0.22917875320949901,-0.7725760059841592,-1.4793733020479034,1.3301066792740646,-0.06912278648659045,0.1895831159123017,0.7004917324717839,-2.1170188319837755,Male,Yes,0.9972705175699679,-251.7445239713273
11,-196.4056865645723,-0.2964196187378585,-1.6661353511868306,1.6397958760425615,1.6027350973198298,-0.16910367960767533,-0.4580543679766553,-0.3386899715752065,-0.20246932194007145,0.7689263348590294,-1.0699724923575773,Male,Yes,0.8209358804484128,-196.36591835730357
12,-47.062413040064094,0.9475344292566453,2.2011029430803353,1.0393460203190055,-0.6299870914800575,0.017108447870848153,-1.2150714512491583,-0.9928750893264623,-0.8189391411304696,-1.6731930238438484,0.8046538310867379,F   ,Yes,-1.8379287795488894,-47.272449233134374
13,70.75778269000759,2.0860682338006717,-0.3769210902952627,-0.6592902424758158,1.55641466336844,-1.2295293609183826,-0.4441096693350644,0.25794720090771134,-0.1488476826636474,-0.4557892813563214,0.4799035171374606,Male,Yes,-0.12544886816135875,70.41034637895937
14,-96.38985637182594,0.10246777148946981,0.5290663694532325,1.3567141982738133,0.14061855351066724,0.06466461022359896,0.14292203716206675,0.3963695088131427,0.9780157646205325,-0.696086091015336,-2.015962541033603,F   ,Yes,-0.560981238760463,-96.92518486083885
15,83.62134232174198,-0.19086212010112702,-0.5135172167915598,-1.5532704753993083,-0.5529247371649756,-1.0066060373136483,2.3507094792063077,0.8983619563381651,0.7109780292587627,1.7406257841155206,0.5585797976829904,F   ,Yes,2.115189890481295,83.54814142692366
16,120.65442410358874,0.1454804084218451,0.6375728593928335,0.3291044004251646,-0.04185012589763687,-0.15283077885686902,0.10562743489038887,-1.186127237195217,0.426664984747766,-1.7191636003321598,0.8763236160245259,Male,Yes,-1.532653514065056,120.4447351124438
